,total_epoch,train_loss_store,acc,f1
0,0.0,0.700225830078125,0.49725,0.6556506849315069
1,1.0,0.7760248184204102,0.5,0.0
2,2.0,0.6847516298294067,0.549875,0.31526906255942194
3,3.0,0.6888643503189087,0.539625,0.6716005349977707
4,4.0,0.6904218196868896,0.54,0.6724230016022789
5,5.0,0.675152063369751,0.585,0.6608784473953013
6,6.0,0.6726438403129578,0.576375,0.4960594795539033
7,7.0,0.676881730556488,0.567625,0.39665096807953953
8,8.0,0.6673757433891296,0.579875,0.49617748463498723
9,9.0,0.6598404049873352,0.607125,0.6278271166370634
10,10.0,0.6620935797691345,0.593,0.6611157368859284
11,11.0,0.6576145887374878,0.602125,0.6664570889657341
12,12.0,0.6446039080619812,0.620875,0.6418703506907544
13,13.0,0.6402753591537476,0.616625,0.551804763992401
14,14.0,0.6290525197982788,0.63675,0.5731492361927144
15,15.0,0.6158998608589172,0.657375,0.708683175682857
16,16.0,0.589245617389679,0.689125,0.707032630462952
17,17.0,0.6626433730125427,0.6135,0.4201050262565642
18,18.0,0.5909075140953064,0.6875,0.7310092532816872
19,19.0,0.592085063457489,0.689625,0.73531606438546
20,20.0,0.5835723876953125,0.69225,0.7078785002373043
21,21.0,0.5862297415733337,0.686625,0.6717297368076469
22,22.0,0.5869472622871399,0.683125,0.6503930492345883
23,23.0,0.5781000852584839,0.697,0.6689429117727397
24,24.0,0.5602961778640747,0.7125,0.7013762659049597
25,25.0,0.5444856286048889,0.72275,0.7298416565164435
26,26.0,0.5387508869171143,0.72025,0.7343304843304842
27,27.0,0.5323870182037354,0.717,0.7115923566878982
28,28.0,0.5347644686698914,0.71475,0.6761282997445359
29,29.0,0.5212180018424988,0.719375,0.6933479032919
30,30.0,0.5128179788589478,0.72725,0.7394937917860555
31,31.0,0.5127304196357727,0.7275,0.7498278632086297
32,32.0,0.5060369372367859,0.732125,0.7433225535992336
33,33.0,0.5059990286827087,0.726875,0.7187540223967048
34,34.0,0.504487931728363,0.72825,0.7180285343709468
35,35.0,0.49693289399147034,0.7345,0.7406593406593407
36,36.0,0.49486270546913147,0.7355,0.7550925925925924
37,37.0,0.4897346496582031,0.738375,0.7544868035190616
38,38.0,0.4855126738548279,0.73925,0.7346731111676418
39,39.0,0.48309871554374695,0.74025,0.7315245478036175
40,40.0,0.4791392385959625,0.746875,0.7524147206259935
41,41.0,0.4757690131664276,0.748625,0.7532818059133849
42,42.0,0.4722558856010437,0.749,0.7414370332217358
43,43.0,0.4699840843677521,0.75075,0.7450127877237851
44,44.0,0.46760162711143494,0.751875,0.7597724797289119
45,45.0,0.4664042890071869,0.75125,0.763545627376426
46,46.0,0.4624103009700775,0.753,0.7573673870333989
47,47.0,0.46026384830474854,0.757875,0.7534682448771794
48,48.0,0.457150936126709,0.759875,0.7588803815739926
49,49.0,0.4544925093650818,0.7605,0.7579585649317838
50,50.0,0.45142024755477905,0.76375,0.7621444752076517
51,51.0,0.44901242852211,0.763125,0.7650340979541228
52,52.0,0.44686585664749146,0.7645,0.7675222112537018
53,53.0,0.4460664987564087,0.765,0.7626861903559706
54,54.0,0.4541468322277069,0.761875,0.7799976902644647
55,55.0,0.4440595507621765,0.76575,0.7615776081424936
56,56.0,0.4460861086845398,0.7655,0.7521141649048625
57,57.0,0.4560741186141968,0.76175,0.7815222375057312
58,58.0,0.4359408915042877,0.773375,0.7775733038890933
59,59.0,0.4525032937526703,0.760625,0.7315295107248001
60,60.0,0.43281230330467224,0.777875,0.774406499936524
61,61.0,0.4412839412689209,0.76825,0.7865530739120423
62,62.0,0.4359189569950104,0.768625,0.7821584088501823
63,63.0,0.43323907256126404,0.7755,0.7695071868583163
64,64.0,0.4332377016544342,0.7785,0.7651113467656416
65,65.0,0.42454618215560913,0.784875,0.7838211279989951
66,66.0,0.4271537661552429,0.781875,0.7910429888636092
67,67.0,0.420576810836792,0.7835,0.7845771144278606
68,68.0,0.4186936318874359,0.78625,0.7775754422476587
69,69.0,0.41750389337539673,0.78725,0.7805569881382155
70,70.0,0.41230472922325134,0.7875,0.7911547911547911
71,71.0,0.4126061201095581,0.786375,0.7955007777910733
72,72.0,0.40712738037109375,0.791375,0.7952398478714268
73,73.0,0.4081537127494812,0.795125,0.7890876335092009
74,74.0,0.40366390347480774,0.79475,0.7965807730426165
75,75.0,0.4031163156032562,0.792875,0.80019293379959
76,76.0,0.39937976002693176,0.798,0.7942449707155591
77,77.0,0.40177616477012634,0.793,0.7931034482758621
78,78.0,0.3984891176223755,0.795625,0.8004881025015254
79,79.0,0.39462560415267944,0.79925,0.8050024283632831
80,80.0,0.39166978001594543,0.801625,0.8033700904472804
81,81.0,0.39324837923049927,0.80225,0.7909619450317125
82,82.0,0.38555264472961426,0.805625,0.8037359586015398
83,83.0,0.3872032165527344,0.805,0.8095703124999999
84,84.0,0.3825621008872986,0.806875,0.8003101977510665
85,85.0,0.37845778465270996,0.80775,0.8120263994133464
86,86.0,0.37476757168769836,0.810875,0.8179521116592469
87,87.0,0.3756903409957886,0.811,0.8069458631256383
88,88.0,0.3680078089237213,0.815375,0.8214674241508522
89,89.0,0.3645213544368744,0.818125,0.82193122016889
90,90.0,0.3679242730140686,0.813375,0.804504386539217
91,91.0,0.3911771774291992,0.802375,0.8187550154763268
92,92.0,0.3681321144104004,0.816,0.809917355371901
93,93.0,0.36675286293029785,0.815,0.8041810002646204
94,94.0,0.36576858162879944,0.8125,0.8176070038910506
95,95.0,0.35562917590141296,0.820625,0.825404550431926
96,96.0,0.3631182610988617,0.8195,0.8092470277410833
