,total_epoch,train_loss_store,acc,f1
0,0.0,0.6983338594436646,0.5,0.0
1,1.0,0.7612690329551697,0.5,0.6666666666666666
2,2.0,0.6927751302719116,0.498875,0.6654985398414686
3,3.0,0.6979014277458191,0.5,0.0
4,4.0,0.6977378726005554,0.5,0.0
5,5.0,0.6861932277679443,0.530625,0.1697988061021446
6,6.0,0.6805224418640137,0.59075,0.6367066134043496
7,7.0,0.6814955472946167,0.560125,0.6699183941468906
8,8.0,0.6811798810958862,0.557625,0.6713715293899154
9,9.0,0.6764901280403137,0.575,0.6691319579602958
10,10.0,0.6712744832038879,0.60125,0.6426971326164875
11,11.0,0.6685296893119812,0.601125,0.5664991169678033
12,12.0,0.666835367679596,0.582625,0.496
13,13.0,0.6633509993553162,0.585,0.5087303936075762
14,14.0,0.6584082841873169,0.60375,0.5681198910081744
15,15.0,0.6544139981269836,0.608625,0.6085760720090011
16,16.0,0.6520740389823914,0.60825,0.6288488867835148
17,17.0,0.6492555737495422,0.611125,0.6385500174276751
18,18.0,0.6453380584716797,0.612125,0.6298461171418348
19,19.0,0.643310010433197,0.61375,0.6102421796165489
20,20.0,0.6396340727806091,0.61775,0.5961436872688853
21,21.0,0.6357608437538147,0.63075,0.6031703385276733
22,22.0,0.631780207157135,0.635,0.6185997910135841
23,23.0,0.6282846927642822,0.635,0.6339934820757082
24,24.0,0.623656153678894,0.64225,0.6491787202745771
25,25.0,0.6141409277915955,0.6515,0.6389536389536389
26,26.0,0.6038656830787659,0.65875,0.620094628444197
27,27.0,0.6575419902801514,0.62725,0.7118840579710145
28,28.0,0.6251215934753418,0.642375,0.5282769991755977
29,29.0,0.6059567332267761,0.659375,0.6029433192481423
30,30.0,0.6051634550094604,0.6665,0.675662533430586
31,31.0,0.612011730670929,0.661,0.6889194769442534
32,32.0,0.6125391721725464,0.65875,0.6885694729637234
33,33.0,0.6100951433181763,0.6595,0.6815524900631283
34,34.0,0.6063010096549988,0.66425,0.6727582846003899
35,35.0,0.6030097603797913,0.66975,0.6614556637621732
36,36.0,0.6000544428825378,0.671625,0.6496866248833179
37,37.0,0.5945510268211365,0.67675,0.6479716852708958
38,38.0,0.5835627913475037,0.688125,0.6675549633577615
39,39.0,0.5713472962379456,0.6965,0.6988340362193004
40,40.0,0.5764389634132385,0.701875,0.7179851010996807
41,41.0,0.583051860332489,0.697875,0.6715586356841963
42,42.0,0.5628111958503723,0.716125,0.7230825509084259
43,43.0,0.562823474407196,0.708875,0.7186858316221766
44,44.0,0.5639755725860596,0.706875,0.6997823582127768
45,45.0,0.5641980171203613,0.708,0.6914949815108293
46,46.0,0.557607889175415,0.7165,0.7072792978833248
47,47.0,0.5491721034049988,0.724625,0.7293944232895222
48,48.0,0.5436483025550842,0.72925,0.7263078089461713
49,49.0,0.5493625998497009,0.72425,0.6945444475214622
50,50.0,0.5458238124847412,0.728,0.7366255144032923
51,51.0,0.5381647944450378,0.733625,0.708601121290852
52,52.0,0.5365238189697266,0.73325,0.7339152119700748
53,53.0,0.5381118059158325,0.726625,0.7430384208671132
54,54.0,0.5295973420143127,0.735375,0.725457139151861
55,55.0,0.5208671689033508,0.7385,0.7315884013343598
56,56.0,0.5246738195419312,0.737875,0.7260613977792292
